label,text
ship,작업 시작 후 타 실 순찰 상음 발생 확인 자체 검사 결과 우현 조타기 진동 소음 발생 확인 해양 환경관리공단 기상 악화 인한 강풍 조류 영향 작업 해 저면 과 접촉 인한 중심 흐트러진 추정 전한 묘박 해역 선정 하 악천후 
ship, 밖 항로 들어오 흘수 약선 진로 방해 규정 하 따라서 도선사 위 주장 받아들일 이유 시사점 항로 부근 정박지 항로 들어오 선박 주의 하 항로 부근 정박지 항로 들어오 선박 닻 올린 후 증속 하 항로 일반 방향 정침 하 항행
ship,상 범위 대룡 호 길 너비 깊이 종축 횡축 롤러 베어링 부기어 베어링 하우징 손상 일시 장소 현대 미포 조선 선석 해양 환경관리공단 현대 미포 조선 작업 차 매암 부 출항 안벽 도착 신조선 푸싱 시작 안벽 신조선 푸싱 작업 
fire,소 압축 기실 철골 조 칼라 피복 철판 압축기 실 압축 기실 철골 조 칼라 피복 철판 압축 기실 자동 창고 압출 형 공정 압출 공정 압출 형 공정 압출 형 공정 압축 기실 제품 포장 실험실 기타 동 플랜트 합 계 철골 조 칼
fire,보험 과 직장 인상 해 보험 의한 치료비 보상 화학 물질 중앙 관리 옥외 장소 신축 전산 관리 교육 훈련 강화 동종 사고 방지 대책 화학 물질 보관 위한 별도 저장 공간 마련 장기 보관 금지 화학 물질 보관 위해 성상 별 분
fire, 성 가스 가 발생 방폭 지역 종 장소 가스 전기 점 화원 스파크 접촉 되 방폭형 전기 설비 사용 하 구역 임 화재 발생 폭발 당시 공장 동의 압축 공정 가동 상태 공장 동의 압축 공정 설치 일반 전기 설비 플랙 시 블 배관
fire, 선생 활용 있 내 판매 도서 안내 할인율 안내 특별 회원 연회비 일반 회원 연회비 협회 발간 도서 번역 발간 도서 단위 원 서 출판 도 보급 가 일반 회원 특별 회원 화재 안전 점검 매뉴얼 판 자동식 스프링클러 설비 핸드북
ship,스 트레 고무 크랭크 축 메인 저널 손상 라이너 외벽 손상 메인 베어링 손상 해양 환경관리공단 흡입 트레 소제 후 취급 부주 로 인한 고무 절손 외부 튀어나온 상태 조립 후 가동 트레 커버 밀착 되 부위 공기 가 유입 하 윤
ship, 하 출항 후 항해 호 포항항 중국 상하이항 항해 호가 좌현 외판 충돌 좌현 외판 파손 되 내부 골재 와 용골 손상 됨 원인 상대 선박 대한 견 시 소홀 방주 부적 절 교훈 횡단 상태 선박 우현 두 선박 피항선 항 동작 취하
fire,거주자 진술 따르 부주 의한 화재 추정 그림 고시원 층 발화 지점 피해 상황 출처 소방방 재신문 사고 현장 문제점 피난 용량 부족 화재 가 발생 고시원 복도 폭 입구 발생 불 복 해 화재 초기 피난 동선 막 상황 불러 추측 
ship, 계획 수립 항해 태풍 조 우시 항 탱커 선 좌초 사고 사고 명 케미컬 탱커 좌초 사고 호 제주 선적 탱커 선 화물 적재 상태 항해 해상 개요 선체 가 조류 떠밀려 저수 심대 좌초 되 구성 선수 부 선 저부 파손 되 추진기 
ship, 회항 후 수리 업체 점검 결과 이상 확인 해양 환경관리공단 터빈유 교환 시 배출 플러그 손 만 임시 잠근 후 공구 이용 해서 잠그 잊 주기관 과급기 선체 진동 되 결과 배출 플러그 풀려 이탈 배출 플러그 패킹 과 장착 공구
ship,들어가 위치 확인 하 선 호 갈치 채낚시 조업 충돌 박 좌현 중앙 외판 파손 갑판 상 핸드 레일 손상 선원 부상 전리 원인 견 시소 인한 충돌 회피 동작 늦어짐 매 당직 업무 경계 이외 업무 할 경우 안전 확인 후 시행 뉴 
ship,고 기관사 재해 기실 창고 자체 정비 페인트 운반 허리 하 병원 내원 결과 급 디스크 파열 진단 항해사 재해 야간 당직 본선 계류 색 조정 위해 갑판 상 방제 장비 이동 허리 긋 하 병원 내원 결과 급 디스크 파열 진단 해양
fire, 현황 사망 사고 경위 연구원 주사기 이용 하 용기 들 채취 연구원 옷 과 니트릴 장갑 튀 불꽃 발생 불길 연구원 과 가슴 번지 신체 가 화상 입음 내용 사고 발생 직후 의료 센터 응급처치 받 후 화상 전문 의료 센터 옮겨져
fire,제목 반응기 가스 폭발 사고 실험실 사고 사례 반응기 가스 폭발 사고 대전 석유 화학 연구소 실험실 라텍스 중합 실험 하 폭발 인한 화재 가 발생 연구원 중화상 입 병원 긴급 이송 치료 도중 사망 사고 발생 사고 개요 장 소
ship,전 작동 상태 점검 유압 모터 회전 가함 확인 해양 환경관리공단 유압 라인 계통 불순물 혼입 고착 유압 모터 입 부식 배관 교환 작업 가공 불량 산 처리 과정 무시 파이프 불순물 유압 라인 혼입 유압 파이프 분해 조립 관리 
ship, 선박 여부 확인 주요 해양 사고 사례 와 교훈 주요 해양 사고 사례 와 교훈 기타 주요 사고 사례 어선 침몰 사건 사건 개요 기상 때 무리 하 조업 강행 기상 악화 된 후 조업 마치 귀항 어선 호 파도 다량 해수 가 갑판 
ship,인해 될 있 곳 라면 이동하 묘박 작업 수행 필요 해양 환경관리공단 프로펠러 블레이드 변형 부 곡직 프로펠러 샤프트 발출 물 사고 기관 사고 사례 해양 환경관리공단 전남 부분 손상 선명 총톤수 선박 주요 치수 주기관 출력 건
fire,도 설치 클린 룸 천장 연기 가 보 학과 조교 연락 조교 가 소방서 신 클린 룸 오염 공기 외부 배출 하 위해 클린 룸 상부 설치 환기 설비 와 관련 하 환기 설비 전원 부 과부하 인한 과열 고무 재질 환 기관 벨로우즈 타입
fire, 차량 과 충돌 탈선 전차 에 승객 오 전차 에 도심지 출근 승객 타 일본 정부 총리 위기관리 센터 긴급 연락 취함 프랑스 파리 지하철 화재 사고 일시 사고 장소 프랑스 파리 인명 피해 사망 사고 개요 세계 최초 지하철 참사
destroied, 관측 풍속 기준 볼 때 사고 지점 에 순간 최대 풍속 바람 몰아쳤 추정 그림 풍속 관측 지점 과 사고 지점 분포도 표 태풍 마 이삭 시 해운대 풍속 관측 지점 별 풍속 지점 유형 지점 명 순간 최대 풍속 평균 풍속 해운대 
fire,보호 안전 장갑 호흡 보호구 필요 
ship,상 폭발 발생 발생 정상 폭발력 컨 로드 부 전달 되 충격파 컨 로드 메탈 이탈 윤활유 통로 막 피스톤 라이너 소손 됨 과 동시 크랭크 핀 충격 가함 응급 상황 부실 대처 윤활유 압력 저압 경보 알람 작동 경우 선장 부하 경
fire,확인 일부 보도 자료 따르 세일 전자 와 소방 점검 업체 화재 발생 전 장기간 공장 천장 상부 누수 와 결로 증상 교체 와 보수 하 사실 도 확인 됐 화재 감지기 와 수신기 임의 조작 경보기 가 작동 하 경비원 경보기 작동 
fire,과 하 승강장 연기 덮이 시작 상태 서 맞은편 선로 진입 정차 전동차 정차 후 출입문 열 연기 유입 막 위해 출입문 닫 기관 사 긴급 피난 필요 인식 사고 역 도착 후 넘 출입문 닫 령실 지시 기다리 필요 시간 허비 승객 전
ship, 이상 북서풍 초속 불 파고 미터 주요 해양 사고 사례 와 교훈 주요 해양 사고 사례 와 교훈 사고 관련 사진 사고 위치 해녀 조업 표시 부표 관련 정보 선명 낚시 어선 호 선적항 경주시 감포읍 톤수 운영 위원 배치 현황 사
fire,쓰레기 수거 용기 재질 쓰레기 용 내부 화재 발생 외부 확산 되 예방 있 철재 불연성 재질 된 비치 실험실 안전 교육 실시 실험 시작 전 실험 사용 물질 위험 따른 안전 확보 대하 교육 실시 연구 책임자 의한 단순 교육 실험
fire,로폼 차량 떨어져 발화 연합뉴스 그림 제천 스포츠센터 화재 개략 도 출처 나무 위키 그림 화재 발생 건물 상황 그림 화재 발생 후 건물 상황 화재 발생 상황 발화 화재 진압 층 필로티 주차장 천정 부 발화 분경 소방서 신고 
fire,는 조사 화재 시점 도 경보 가 울리 는 생존자 증언 비추 때 도 정상 관리 되 가능 자동 탐지 설비 추가 단독 경보 형 감지기 설치 되 설비 화재 감지 기능 과 경보 기능 형 한 감지기 가 작동 장소 경종 발한다 장소 단독
ship,당시 해상 시정 이상 북서풍 초속 불 파고 미터 해양 사고 통계 와 사고 사례 사고 선박 관련 정보 고정식 정기 모습 좌 화물창 내부 우 갑판 상 폭발 손상 된 화물창 내부 주요 해양 사고 사례 와 교훈 주요 해양 사고 사례
fire,스트 콘크리트 조 구조 준공 건물 층 별 면적 과 주요 용도 표 과 표 건물 현황 구분 면적 도 소방 설비 층 가공 도금 층 층 층 합계 라미네 노광 프레스 접 사무실 접 사무실 식당 소화기 옥내 소화전 설비 스프링클러 설비
destroied,층 열 창문 강풍 뒤틀리 깨지 사고 발생 참고 문헌 참고 문헌 건물 외벽 타일 과 유리창 파손 사고 시그 니엘 부산 호텔 과 아파트 파편 떨어짐 그림 해운대 달맞이 언덕 고층 아파트 유리창 파손 부산 해운대 고층 빌딩 산물 
ship,점검 결과 좌현 주기관 절단 인해 플라이 휠 중간축 연결 부위 이탈 주기관 출력 이상 확인 장기간 사용 인한 균열 발생 파손 크랙 확인 보 예비품 사전 확보 완전 파손 따른 운항 손실 미연 방지 평상시 선박 진동 과 이음 발
fire, 가 효과 교육 있 화재 예방 교육 강의 기법 매뉴얼 발간 보건복지부 여성 가족 부 소방방 재청 정부 부처 전국 시도 교육청 소방본부 안 기관 배포 화재 예방 교육 강의 기법 매뉴얼 에 교육 실시 전후 준비 사항 연령 별 고
fire,지난 고시원 안전 규정 정비 복도 폭 이상 갖추 강화 고시원 과거 허가 받 소급 적용 되 기본 일정 규모 이상 건물 이상 직통 계단 설치 양방향 피난 할 있 하 건물 층 층 바닥 면적 양방향 피난 최소 기준 바닥 면적 이상 
fire, 전기 설비 관리 미흡 공장 압출 공정 정상 상태 유증 기 가 존재 하 방폭 지역 방폭형 일반 형 전기 설비 플랙 시 블 배관 설치 분전반 연결부 수직 배관 수평 형 실링 피팅 설치 옥외 방폭형 분전반 설치 우수 영향 받 옥
destroied, 관측소 에서 강우 지점 코드 지점 명 시간 강우 최다 일 강우 장호원 암 금왕 성 센터 저수지 수위 상황 산양 저수지 는 수위계 장비 설치 되 붕괴 사고 유형 판단 불가 사고 대응 상황 백암 관측소 기준 사고 전날 비 가 
ship, 일정 요건 충족 경우 강제 도선 면제 받 선장 직접 조선 할 있 자력 도선 도선 도선구 도선사 가 선박 탑승 당해 선박 안전 로 안내 말 하 강제 도선 목적 선박 항행 안전 운항 능률 증진 기함 과 동시 항만 기능 보존 의
fire,분 면적 도 소화 설비 지하 층 기계실 층 층 층 층합 계 로비 내 필로티 면적 제외 목욕탕 헬스 장음 식점 소화 기옥 소화전 설비 스프링클러 설비 호스 릴 설비 층 필로티 구역 자동 탐지 설비 제천 화재 층 천장 불붙 스티
fire, 층 자동 탐지 설비 화재 발생 상황 사망 전자 화재 원인 전기 요인 동아닷컴 발화 화재 진압 분경 건물 층 발화 분경 소방서 신고 접수 분경 소방대 현장 도착 분경 초진 분경 완진 지원 인력 출동 장비 인력 소방 경찰 기타
ship, 정보 선명 어선 호 선적항 울산 광역시 톤수 선 주요 치수 박 주기관 건조 인원 피해 상황 길 너비 깊이 디젤 기관 기 전라남도 여수시 선원 선원 실종 사고 일시 장소 기상 해 상 독도 로 방향 해상 날씨 북북서풍 파고 시
ship, 압력 넘 안전밸브 가 윤활유 증기 가 뿜 나와 주위 공기 와 접촉 기관실 화재 가 발생 사고 선원 부상 기관 설비 점검 불량 원인 크랭크 핀 과 베어링 메탈 불량 윤활유 공급 불량 크랭크 핀 과 베어링 메탈 소착 연돌 에어
fire, 지상 까지 화재 정상 상태 거리 객차 빠져나온 승객 들 역 구내 연기 와 가스 차 조명 과 유도등 꺼진 암흑 상태 인하 역 구내 벗어나 피난 상태 구조 대원 지하 층 개찰구 부분 사망자 발견 전 하 나중 객차 빠져나온 승객
ship,하 우측 갈비뼈 골절 갑판원 재해 정박 사다리 이용 하 거주 구역 페인트 작업 선체 동요 인해 사다리 가 넘어져 갑판 추락 하 갈비뼈 골절 해양 환경관리공단 재해자 부주의 고소 작업 안전벨트 작용 사다리 작업 인 조 작업 기
ship,더 가 망가진 후 연 선수 계류 줄 장력 이기 끊 주의 기울이 접근 선원 가격 하 발생 해양 사고 관련자 징계 선장 급 항해사 업무 정지 기름 이송 선박 흘수 차이 되 파 상황 안전 관리 함 안전관 리자 시정 권고 흘수 차이
ship,조 일손 상 범위 손상 일시 전남 길 너비 깊이 파손 손상 부분 손상 냉각수 통로 주변 부식 주기관 시동 후 경과 시점 주기관 청수 보충 주입구 캡 냉각수 가 솟구쳐 외부 분출 현상 발생 해양 환경관리공단 개방 점검 수리 소
fire, 피난 훈련 할 필요 가 흑백 쇄 인하 보이 사진 협회 홈페이지 로그인 후 지식 창고 발간 자료 위험관리 정보 에서 확인 가능 신착 자료 신착 자료 목록 등록번호 주제 명 언어 잡지 출판 월 손해 보험 통계 연보 한글 보험 
ship,할 때 해녀 조업 표시 공기주머니 부표 테왁 부착 선박 식별 있 하 항내 해녀 물질 할 경우 어촌계 관리 선 투입 해녀 물질 장소 주변 경계 어선 들 통제 우회 하 어촌계 해녀 조업 있 구역 설정 안전 장소 물질 할 있 하 
ship, 부산 영도 인근 해상 해양 환경관리공단 기중기선 예 인작 업차 운항 좌현 추진기 상부기 박스 윤활유 펌프 기어 와 연결 횡축 샤프트 베벨 기어 고정 볼트 가 절손 되 추진력 상실 횡축 베벨 기어 고정 볼트 이완 되 절손 된
ship, 안전막대 롤러 모릿줄 조종 레버 발 작업대 어선 통발 양승 작업 각부 명칭 과 모릿줄 배치 도 사바 끼 사이드 롤러 안전장치 안전막대 어선 양승기 각부 명칭 주요 해양 사고 사례 와 교훈 주요 해양 사고 사례 와 교훈 관련
ship,해양 환경관리공단 대룡 우현 추진기 하부 유실 선명 총톤수 선박 주요 치수 주기관 출력 건조 일손 상 범위 대룡 호 길 너비 깊이 우현 추진기 하부 유실 추진기 수직 축 스터링 튜브 슬리브 사고 일시 장소 보령 앞 해상 추도
ship, 명 컨테이너선 화재 사고 출력 의 디젤 기관 장치 컨테이너선 호 가 항해 주기관 윤활유 압력 떨어져 윤활유 여과기 소제 항해 했 개요 해상 윤활유 공급 불량 주기관 크랭크 핀 과 베어링 메탈 소착 되 주기관 크랭크 실 한계
fire,계좌 안내 전화 문의 고객 서비스 팀 외 환 행 농협 중앙 회 신 은 행 국민은행 예금주 한국 화재 보험 협회 
fire,화재 발생 과 관련 하 다음 과 공장 관계자 설명 공장 동의 압축 공정 에 압축기 설치 화재 발생 폭발 당시 압축기 배관 가스 누출 감지기 작동 후 폭발 서산 화학 공장 화재 사고 현장 문제점 전기 설비 관리 미흡 방폭 지역
fire,훈련 유사시 신속 하 체계 대응 위해 상주 인원 대한 정기 교육 훈련 실시 필요 하 거동 불편 환자 다수 병원 실자 특성 고려 피난 훈련 필수 건물 관리 건물 계단실 방화문 개폐 관리 상태 확인 편의 위해 탈거 되 설치 가 
ship,후 증속 하 항로 들어와 항로 일반 방향 정침 하 정상 속력 항행 위해서 는 선박 크기 화물 적재 상태 와 조류 방향 따라 차이 시간 필요 하 과정 조종 성능 일부 자유 항로 밖 정박지 항로 들어오 선박 선장 도선 사 사전 
fire,의하 폭발 사고 발생 사고 발생 원 수소 가스 누출 수소 저장 장치 보관 되 수소 가스 누출 의한 폭발 장시간 실험장 운영 안전 점검 미 실시 연구 활동 종사자 가 자리 비운 상태 장시간 실험장 가동 실험실 사용 실험 장비 
ship,시행 이후 되 당겨져 나오 예인선 타력 예상 신양호 우측 선 미부 접촉 손상 발생 해양 환경관리공단 예인선 신양호 이안 작업 시작 선미 인색 연결 작업 예인선 신양호 된 후 요청 대룡 준비 작업 윈치 과 전진 항해사 인 브릿
ship,게 조선 맡기 선교 떠났 선장 선원법 조 규정 따라 선박 항구 출입 때 선박 조종 지휘 의무 가 도 이행 만약 선장 사고 당시 조선 하 통항 방법 관한 합의 과정 충돌 위험 발생 때 효과 하 충돌 사고 피할 판단 되 선장 행
ship, 균형 의한 집중 비틀림 응력 발생 제조 당시 단조 윤활유 구멍 가공 불량 평소 과부하 운전 억제 기관 악영향 미치 노킹 현상 발생 조치 동절기 워 밍 실시 기통 별 폭발 압력 수시 측정 균일 압력 유지 밸브 펫 간극 수시 
destroied,치 강풍 인한 파손 피해 경감 하 파편 비산 인한 자 배상 책임 위험 부담 낮추 위험관리 필요 하 부산 해운대 고층 빌딩 산물 강풍 사고 반 사항 소 재 부산 해운대구 소재 사고 일시 목요일 오전 경 사고 장소 부산 해운대구
ship, 수위 시행 철저 수위 변동 있 시 정확 원인 파악 후 문제 해결 운전 기관 실 가능 비우 경우 점검 메이커 권고 주기 따라 선박 검사 시정기 종 중간 개방 점검 시행 해양 환경관리공단 청룡 우현 주기관 비상 정지 선명 총톤
ship,선 속도 통과 시점 충돌 해양 환경관리공단 안개 인한 위험 회피 노력 부족 대룡 호 충돌 위험 대비 항로 상 최대한 우현 등부표 와 근접 최저 속력 항해 안전 도모 제한 시 정하 충돌 회피 이유 가 부족 안전 수칙 미준 수 
fire,화학 물질 위험 파악 실험 전 사용 물질 대한 정보 인지 있 참고 문헌 통하 위험 대하 인지 하 안전 사용법 숙 후 사용 위험 파악 따라 개인 보호구 착용 후 사용 위험 물질 취급 주의 특정 위험 요소 내포 하 위험 물질 대
fire,병원 안전 손 놨 연합뉴스 그림 밀양 병원 층 중앙 계단 사진 그림 밀양 병원 층 설계 면 출처 소방방 재신문 그림 케이블 방화 구획 관 통부 구획 그림 케이블 방화 구획 관 통부 구획 불량 피난 교육 훈련 미흡 그림 본관 
ship,정 재결 내용 사고 원인 선장 선원 대한 안전 관리 소홀 과 선원 부주 로 모릿줄 양승기 사바 끼 벗어나 선원 가격 후 선원 바다 추락 하 발생 해양 사고 관련자 징계 선장 급 항해사 업무 정지 장력 평소 상태 통발 올라오 
ship,급 전원 복구 불량개소 확인 자체 수리 불가 메이커 수리 의뢰 수리 범위 파악 양현 추진기 불량 부품 추진기 전원 복구 위해 제거 후 회로 직렬연결 임시 조치 메이커 방선 좌현 추진기 시스템 불량 부품 신환 후 시운전 양호 
ship,활유 펌프 기능 저하 인해 주기관 엔진 정상 공급 되 고장 상태 장기간 단방 치 고장 난 상태 방치 되 엔진오일 저압 알람 트립 작동 이루어지 윤활유 정상 압력 고음 자동차 단장 치 예비 윤활유 펌프 운용 방법 부적 절 프라
ship,남 인해 챔버 커버 개방 검사 결과 실린더 냉각수 가 누수 된 확인 누수 원인 작용 방지 위한 충격 완화 격판 라이너 실린더 블록 충격 노출 충격 파장 실린더 라이너 외벽 관통 되 자켓 트 냉각수 가 엔진오일 혼합 해양 환경
ship, 해룡 선체 손상 선명 총톤수 선박 주요 치수 주기관 출력 건조 일 해룡 호 길 너비 깊이 손상 범위 붐 암 손상 일시 장소 부산 신항 석 해양 환경관리공단 부산신항 석 예인선 호총 톤수 풀 컨테이너선 출항 예인 작업 하 해
destroied,음 표 과 강풍 피해 겪 부산 해운대 고층 빌딩 산물 강풍 사고 엘시티 시공사 따르 유리창 두께 달하 강풍 도 견디 설계 되 앞 언급 사고 지점 에 최대 순간 풍속 강풍 계측 설계 풍속 감안 당시 풍속 위협 풍속 알 있 파손
ship, 따른 전기 합성 추정 울산 남부 소방서 의견 전기 가 된 시설물 안전 관리 점검 소홀 시설물 절연 측정 시행 보안 점검 미 시행 당직자 순찰 소홀 인수인계 미 시행 당직자 승선 선박 이외 선박 순찰 미 시행 선박 별 퇴근 
destroied, 붕괴 사고 월 류 무관 붕괴 사고 수지 가 구조 체결 발현 되 발생 붕괴 사고 있 표 사고 당시 수위 기준 따른 붕괴 사고 분류 붕괴 사고 유형 설명 수지 가 월 류 잠재 발현 되 발생 붕괴 사고 수지 가 월 류 잠재 과 
ship,로 통과 해도 상 선박 위치 파악 암초 접촉 사고 발생 협수 통과 시 세심 주의 와 적정 속도 유지 안전항 해 철저 준수 협수 통과 시 세심 주 정확 조석 파악 안전 속도 유지 안전항 해 도모 협수 통과 요령 준수 협 수로 
fire,유 붙 김 모씨 가 불 붙 페트병 집 던짐 휘발유 가 주변 튀 쏟아져 시간 불길 번지 화재 가 발생 확대 객차 뿌려진 휘발유 의해 순식간 일어난 초기 화재 불연재 전동차 의자 바닥 내장재 옮겨 붙 승객 진화 할 틈 객차 확산
ship,상 우현 주기관 가버너 링크 장치 조임 너트 가 풀려 정격 회전수 초과 급회전 이상 발생 로 인해 주요 구동 부인 크랭크축 손상 해양 환경관리공단 엔진 부착 가버너 링크 장치 조임 너트 풀려 가 이탈 따라 연료 분사 펌프 힘
ship, 환경관리공단 재해자 부주의 무릎 굽혀서 물건 들 이동 방향 앞쪽 주 사람 들 이동식 카트 이용 운항 선체 동요 시 작업 금지 해양 환경관리공단 고소 작업 추락 사고 갑판원 재해 선미 갑판 페인트 도장 발 헛디뎌 아래 추락 
ship,대룡 호 손상 선명 총톤수 선박 주요 치수 주기관 출력 건조 일손 상 범위 손상 일시 대룡 호 길 너비 깊이 좌현 주기관 파열 마력 기 해양 환경관리공단 예선 작업 차 주기관 시동 후 삽입 엔진 부하 넣 순간 기관실 굉음 발
ship,상황 세심 하 파악 수심 암초 지대 위험 지대 피하 항로 설정 연안 항해 에 선박 위치 확인 선박 위험 지대 접근 주의 할 해양 환경관리공단 대룡 호 선박 과 충돌 선명 총톤수 선박 주요 치수 주기관 출력 건조 일 손상 범위
ship,올라오 상갑판 물 잠겼 우현 정 횡 파도 맞 좌현 기울 침몰 함 어선 호 침몰 하 선장 인근 있 어선 의해 구조 되 선원 실종 됨 당시 해상 시정 양호 서풍 초속 불 파고 미터 해양 사고 통계 와 사고 사례 사고 선박 일반 
fire,티 배관 통해 상당 거리 이동한 후 점 화원 작용 할 있 용접 절단 작업 상시 관리자 감독 실시 하 작업장 주위 가연물 이격 시키 차단 후 작업 실시 분진 폭발 위험 물질 취급 작업장 경우 설비 정지 분진 의 방재 기술 부유
ship,평소 와 이상 소음 동반 진동 유발 되 완전 로 배기가스 다량 발생 엔진 부조 가 일어날 경우 원인 규명 조치 가 수반 되 해양 환경관리공단 대룡 좌현 추진기 부기어 고장 선명 총톤수 선박 주요 치수 주기관 출력 건조 일손 
fire,넘 추정 승객 타 화재 직후 객차 출입문 열린 상태 연기 가 승강장 공간 메우 시간 여유 가 승객 대부분 화재 직후 대피 피해 입 가운데 일부 사상자 정도 피해 입 승객 태운 추정 전동차 전동차 처음 화재 가 발생 후 도 경
fire,동 공 정동 공 정동 공 정동 개동 구성 되 연면적 공정 장치 건축물 연면적 에 포함 되 플랜트 면적 건물 층수 구조 연면적 도 주조정실 조정 실 에틸렌 주조정실 정실 랙 룸 에틸렌 압축기 철골 조 칼라 피복 철판 에틸렌 수
fire,비 대해 효과 대응 할 있 비상 계획 수립 훈련 실시 근로자 유출 방지 희석제 누설 된 장치 망실 본딩 선등 시정 해야 문제 보 하 훈련 실시 작업장 관리 작업장 기름걸레 관리 정리 상태 확인 인화 성 증기 공기 혼합기 체류
destroied,고 그림 산양 저수지 제당 붕괴 모습 그림 산양 저수지 하류 하천 가 교량 인근 피해 모습 보여줌 그림 산양 저수지 하류 피해 모습 그림 드론 촬영 가공 산양 저수지 하류 피해 지역 정사영 상 그림 산양 저수지 하류 피해 현
fire,발 사이 상부 상황 파열 되 개방 상태 사진 폭발 사이 하부 상황 부압 의한 손상 방재 기술 사진 폭발 사이 하부 상황 부압 충격 의한 파열 피해 상황 재산 피해 소방서 추산 인명 피해 사망 부상 분석 내용 발화 지점 공 장
ship,주기관 날 미속 전진 중속 전진 전속 전진 사용 속력 올리 타 사용 좌현 선회 시켜 날 침로 하 항로 진입 시작 이때 선장 좌현 접근 호 발견 도선사 본선 심 흘수선 위험 하 주의 촉구 도선사 진행 멈추 도선 사 자신 예상 
fire,제목 가스 누출 인한 폭발 사고 사고 개요 사고 분류 폭발 사고 일시 분경 장소 전시 소재 기관 공학 실험실 재해 사항 사망 중상 사고 발생 과정 란탄 코발트 옥 사이트 촉매제 하 과산화수소 분해 실험 하 실험 위하 압축 공
fire,치 적정 확인 안전 교육 건물 사용 승인 득한 건물 이후 강화 소방법 규 따라 설비 소급 적용 상황 설비 통한 안전성 강화 설비 투자 와 안전 의식 제고 통해 화재 시 피해 줄이 효과 설비 투자 상황 라면 최소한 지속 안전 
ship, 호 초인 하 항해사 날 자선 선수 우현 방향 떨어진 곳 항로 막 진입 호출 받 이때 호가 선수 앞쪽 통과 항해사 와 통화 마친 후 사이 자선 선수 우현 방향 접근 와 떨어져 통과 소각 도 좌현 변침 하 침로 변경 항해사 날
fire, 층 승강장 과 연결 방화문 개방 되 연기 유입 그을 림 화재 원인 시사 교양 프로그램 에서 방송 자료 따르 화재 신고 전 층 천장 화재 가 발생 밝혀졌 현장 관계자 가 겉 보이 불길 잡 추정 되 천장 내부 가연 단열재 화재
fire,생 서산 화학 공장 화재 반 사항 소 재 충청남도 서산시 소재 화재 일시 수요일 분경 발화 장소 공 장동 압축 공정 재산 피해 소방서 추산 인명 피해 부상 중상 경상 발화 원인 가스 폭발 추정 건물 현황 공장 공 정동 공 정
ship,배치 도 강구항 침몰 장소 침몰 위치 관련 정보 선명 어선 호 선적항 경상북도 영덕군 남정면 톤수 선 수박 주기관 길 너비 깊이 디젤 기관 기 건조 전라남도 고흥군 인원 선원 피해 상황 침몰 선원 실종 사고 일시 장소 경상북
